package,time,rtime,ctime,maxrss,maxcpu,maxth,nlines,ntests,nsubtests
cmd/skiperrs,0,-1,0,286612,5.3,75,1,0,0
cmd/smithcmp,0,-1,0,286908,5.3,75,1,0,0
cmd/smithtest,0,-1,0,268724,5.3,47,1,0,0
cmd/teamcity-trigger,2,2.945,0,434668,70.5,65,8,2,0
cmd/testfilter,0.028,0.028,0,470656,5.6,80,237,1,3
cmd/uptodate,0,-1,0,443904,5.6,80,1,0,0
cmd/urlcheck,0,-1,0,444732,5.6,80,1,0,0
cmd/urlcheck/lib/urlcheck,0,-1,0,445888,5.6,80,1,0,0
cmd/workload,0,-1,0,449460,5.6,80,1,0,0
cmd/wraprules,0,-1,0,452752,5.6,80,1,0,0
cmd/zerosum,0,-1,0,455200,5.6,80,1,0,0
col/coldata,3,1.473,1.527,834148,7.0,87,427,21,190
col/coldatatestutils,0,-1,0,266796,11.3,47,1,0,0
col/colserde,2,0.07,1.93,470856,11.5,83,26,7,4
col/colserde/arrowserde,0,-1,0,430956,9.8,48,1,0,0
col/typeconv,0,-1,0,341628,9.8,48,1,0,0
compose,0,-1,0,266816,9.8,48,1,0,0
compose/compare/compare,0,-1,0,266796,9.8,47,1,0,0
config,1,0.044,0.956,447572,10.0,75,19,7,0
config/zonepb,1,0.045,0.955,748788,9.2,80,113,9,46
geo,1,0.034,0.966,480516,9.9,80,178,14,54
geo/geogfn,3,3.018,0,303664,80.7,69,1342,7,662
geo/geographiclib,0.02,0.02,0,402388,11.9,64,26,3,3
geo/geoindex,1,0.034,0.966,640236,12.5,115,435,2,0
geo/geomfn,1,0.035,0.965,587048,12.4,114,174,13,73
geo/geopb,0,-1,0,369232,12.4,77,1,0,0
geo/geos,0.029,0.029,0,387672,12.5,77,12,2,3
gossip,4,1.873,2.127,1076404,125.6,86,755,51,24
gossip/resolver,0.03,0.03,0,687260,55.5,80,9,3,0
gossip/simulation,0,-1,0,266848,10.6,48,1,0,0
internal/client/requestbatcher,0.143,0.143,0,380680,10.2,78,40,12,2
internal/rsg,0.034,0.034,0,666076,10.2,80,7,1,1
internal/rsg/yacc,0.052,0.052,0,291688,9.8,61,6,2,0
internal/sqlsmith,5,1.221,3.779,1721036,247.9,93,657,2,4
jobs,9,6.779,2.221,1090120,299.5,94,1634,15,56
jobs/jobspb,0,-1,0,324352,11.0,68,1,0,0
jobs/jobsprotectedts,3,0.188,2.812,1827112,116.8,116,51,1,0
keys,3,0.425,2.575,1188088,178.0,82,789,22,118
kv,5,3.826,1.174,2172168,169.6,98,1484,43,24
kv/bulk,6,1.86,4.14,1864716,168.2,116,1018,3,54
kv/kvbase,0,-1,0,827344,13.2,80,1,0,0
kv/kvclient,0,-1,0,828044,13.2,80,1,0,0
kv/kvclient/kvcoord,19,16.304,2.6960000000000015,1855248,203.4,96,3191,188,301
kv/kvnemesis,9,4.289,4.711,1849908,307.3,110,1749,7,35
kv/kvserver,210,205.665,4.335000000000008,1843252,1790.2,140,47146,610,967
kv/kvserver/abortspan,0.042,0.042,0,318588,35.2,72,9,2,0
kv/kvserver/apply,0.025,0.025,0,480452,30.6,48,10,4,0
kv/kvserver/batcheval,8,5.049,2.9509999999999996,1967484,352.4,116,1852,18,197
kv/kvserver/batcheval/result,0.031,0.031,0,268576,23.4,48,6,2,0
kv/kvserver/closedts,0,-1,0,442100,23.5,48,1,0,0
kv/kvserver/closedts/container,1,0.085,0.915,689232,23.5,80,68,1,0
kv/kvserver/closedts/ctpb,0,-1,0,331656,22.0,65,1,0,0
kv/kvserver/closedts/minprop,1,0.039,0.961,1044848,21.1,115,596,8,0
kv/kvserver/closedts/provider,0.05,0.05,0,573380,21.2,80,138,3,0
kv/kvserver/closedts/provider/testutils,0,-1,0,574516,21.2,80,1,0,0
kv/kvserver/closedts/storage,0.045,0.045,0,699176,158.2,82,12,4,0
kv/kvserver/closedts/transport,0.034,0.034,0,419848,17.2,68,8,2,0
kv/kvserver/closedts/transport/testutils,0,-1,0,268576,17.2,48,1,0,0
kv/kvserver/compactor,1,0.176,0.8240000000000001,705980,17.2,81,92,5,15
kv/kvserver/concurrency,29,28.228,0.7719999999999985,971652,223.0,114,8780,14,93
kv/kvserver/concurrency/lock,0,-1,0,268564,10.6,47,1,0,0
kv/kvserver/constraint,0,-1,0,268564,10.7,47,1,0,0
kv/kvserver/diskmap,0,-1,0,268564,10.7,47,1,0,0
